Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
08-10-2023,28.0,33.4,30.0,75.0,,8.9,7.0,70.0,3.0,E 
09-10-2023,27.9,34.2,29.8,76.0,0.0,8.7,6.0,100.0,3.0,E 
10-10-2023,28.4,34.2,30.5,77.0,0.0,7.9,6.0,40.0,3.0,E 
11-10-2023,28.4,33.2,30.3,75.0,0.0,7.7,5.0,50.0,2.0,NE
12-10-2023,28.6,34.4,30.3,77.0,0.0,,5.0,100.0,2.0,NE
13-10-2023,28.8,33.6,30.6,77.0,0.0,8.1,6.0,40.0,2.0,C 
14-10-2023,28.4,33.4,30.4,72.0,0.0,7.3,6.0,60.0,2.0,NE
15-10-2023,28.4,35.4,30.9,70.0,,8.4,8.0,60.0,3.0,E 
16-10-2023,,34.6,30.1,76.0,,7.5,6.0,40.0,2.0,E 
17-10-2023,28.4,37.2,31.0,72.0,,9.5,9.0,60.0,3.0,C 
18-10-2023,28.0,33.8,30.6,69.0,0.0,7.8,5.0,110.0,3.0,E 
19-10-2023,27.8,33.4,30.0,74.0,0.0,9.5,5.0,40.0,3.0,E 
20-10-2023,27.8,32.6,29.7,78.0,0.0,8.9,7.0,40.0,2.0,C 
21-10-2023,28.3,33.4,30.0,75.0,0.0,8.1,5.0,130.0,2.0,NE
22-10-2023,28.4,33.5,30.4,74.0,0.0,9.5,4.0,50.0,1.0,C 
23-10-2023,,,,,,,,,,
24-10-2023,27.8,32.8,29.9,74.0,0.0,7.7,5.0,80.0,2.0,E 
25-10-2023,27.2,34.0,30.2,72.0,8888.0,6.5,5.0,50.0,2.0,SE
26-10-2023,27.8,34.1,30.3,78.0,,6.0,4.0,40.0,1.0,C 
27-10-2023,28.0,33.0,29.9,78.0,0.0,9.2,5.0,150.0,2.0,C 
28-10-2023,27.6,33.8,30.3,78.0,0.0,8.8,6.0,10.0,3.0,NE
29-10-2023,27.0,33.6,29.7,77.0,0.0,9.4,4.0,80.0,1.0,C 
